task,model,judge,criterion,n_samples,pearson_r,pearson_p,kendall_tau,kendall_p,spearman_r,spearman_p,mae,rmse,cohen_kappa,agreement_within_1,exact_agreement
interview,AF3_summary,Qwen,overall,24,0.49385926789295204,0.014178414775858834,0.42228920584667207,0.03338656372512444,0.44359431403913285,0.029911308810816647,0.4166666666666667,0.7637626158259734,0.19327731092436973,0.9166666666666666,0.6666666666666666
interview,AF3_summary,Qwen,fluency,24,0.175662013130736,0.4116248357885043,0.11952286093343938,0.5531350833025764,0.12366340153230444,0.5648176511530367,0.5833333333333334,0.816496580927726,-0.02631578947368407,0.9583333333333334,0.4583333333333333
interview,AF3_summary,Qwen,faithfulness,24,-0.15612106723948438,0.46631390911896947,-0.12845757450669026,0.5071741136865822,-0.13984961622187228,0.5145553006799704,0.7083333333333334,1.136515141415488,0.1299093655589123,0.875,0.5
interview,AF3_summary,Qwen,coverage,24,0.39834823795432905,0.053857269566148974,0.17000510022951146,0.39320700525650065,0.17803292133101256,0.40524019085811225,0.7083333333333334,0.9789450103725609,-0.1200000000000001,0.875,0.4166666666666667
interview,AF3_summary,Qwen,purity,24,,,,,,,0.0,0.0,,1.0,1.0
interview,AF3_summary,Qwen,usefulness,24,0.4341793976540785,0.03401274677374833,0.28114294119443695,0.1604738059476739,0.2926457719863848,0.16521818571507252,0.4583333333333333,0.7905694150420949,0.0181818181818183,0.9166666666666666,0.625
interview,Qwen_summary,Llama,overall,26,0.6608873883262412,0.00023762666792554571,0.6109598099719176,0.0008384481757197723,0.6496550319335679,0.00032862704049176696,0.4230769230769231,0.7595545253127499,0.4193548387096774,0.9230769230769231,0.6538461538461539
interview,Qwen_summary,Llama,fluency,26,0.8035073760083707,7.711358798089852e-07,0.9118781383114933,2.5225837419706964e-06,0.9412591670730804,8.236828250342221e-13,0.11538461538461539,0.4385290096535146,0.8470588235294118,0.9615384615384616,0.9230769230769231
interview,Qwen_summary,Llama,faithfulness,26,0.8465799030177025,5.014889338160239e-08,0.8393776485790443,5.711448640666148e-06,0.8846208321944109,2.0148306119672776e-09,0.19230769230769232,0.4385290096535146,0.6692111959287532,1.0,0.8076923076923077
interview,Qwen_summary,Llama,coverage,26,0.8370221386594626,9.831144646254904e-08,0.8319169896555902,5.73710497824472e-06,0.8825851428312866,2.4584454178096144e-09,0.23076923076923078,0.4803844614152614,0.6320754716981132,1.0,0.7692307692307693
interview,Qwen_summary,Llama,purity,26,0.4615400852074422,0.017624239992491804,0.5439313353164624,0.004541714229298278,0.5675719383392573,0.0024934217870031306,1.7307692307692308,1.8501559185854912,0.006369426751592466,0.23076923076923078,0.07692307692307693
interview,Qwen_summary,Llama,usefulness,26,0.20897168019304124,0.30559294492899125,0.2042627167556587,0.23442566367910145,0.21327836853828155,0.29550425563423155,0.7307692307692307,1.255755978254962,0.4661190965092403,0.7307692307692307,0.6153846153846154
interview,Qwen_summary,Mistral,overall,26,0.5727106330035531,0.0022301408054051356,0.5170719456436328,0.0032323862993654633,0.5751020215588968,0.002115977426124312,0.5769230769230769,0.8086075400626399,0.24481327800829877,0.9615384615384616,0.46153846153846156
interview,Qwen_summary,Mistral,fluency,26,0.01149083755544486,0.9555712040120369,-0.30012252399939043,0.12403880322987529,-0.3076080258443756,0.12633896765658634,1.5,1.6756169931378433,0.10625000000000007,0.34615384615384615,0.15384615384615385
interview,Qwen_summary,Mistral,faithfulness,26,0.7469811353222381,1.166497677675138e-05,0.7114624027803544,7.069245038627613e-05,0.7858000993360239,1.9678461762660804e-06,0.38461538461538464,0.6201736729460423,0.39252336448598124,1.0,0.6153846153846154
interview,Qwen_summary,Mistral,coverage,26,0.7462025072446364,1.204956757134878e-05,0.7269586642454514,9.691936154070354e-05,0.7796355023744105,2.672210438337218e-06,0.34615384615384615,0.5883484054145521,0.44285714285714284,1.0,0.6538461538461539
interview,Qwen_summary,Mistral,purity,26,0.033079070785198283,0.8725510811563663,0.016384638410380813,0.9318767924300766,0.017096755376590327,0.9339349932870838,1.8846153846153846,2.009592381171251,0.0031948881789137795,0.15384615384615385,0.07692307692307693
interview,Qwen_summary,Mistral,usefulness,26,0.28653258010884336,0.15585858290860394,0.17239291620136737,0.33085946982764736,0.19335095408368358,0.34395246087980347,0.8461538461538461,1.0741723110591492,-0.02631578947368407,0.8461538461538461,0.3076923076923077
interview,Qwen_summary,Qwen,overall,26,0.27435748398107973,0.17498857733774054,0.20440117287491322,0.2640105432262453,0.2220471462428975,0.27561615603480205,1.3461538461538463,1.5566235649883124,-0.05840707964601766,0.6153846153846154,0.11538461538461539
interview,Qwen_summary,Qwen,fluency,26,-0.007349564395040418,0.971575117593736,-0.015487133117489393,0.9373432918143145,-0.015721884713429394,0.9392377006901123,0.7692307692307693,1.0,0.05957446808510636,0.8846153846153846,0.34615384615384615
interview,Qwen_summary,Qwen,faithfulness,26,0.4505014619699947,0.020912355142756783,0.4937364173268989,0.00588528324361119,0.542134091694213,0.004223452834347558,0.9615384615384616,1.255755978254962,0.04448742746615075,0.8461538461538461,0.2692307692307692
interview,Qwen_summary,Qwen,coverage,26,0.692122799997232,8.957030699971991e-05,0.6347513304800011,0.0005441678871884382,0.6733793651342065,0.0001630707523947286,1.6538461538461537,1.7650452162436563,-0.11184210526315774,0.4230769230769231,0.0
interview,Qwen_summary,Qwen,purity,26,,,,,,,1.8846153846153846,2.009592381171251,0.0,0.15384615384615385,0.07692307692307693
