model,precision,recall,f1,f1_ci_low,f1_ci_high,n
AF35_summary,0.2939196621116839,0.12137286578256049,0.2041949527828317,0.17953624734164852,0.22934541287586874,19
Qwen_summary,0.35216730121861806,0.09045755499127237,0.2095742958005179,0.14337041785263202,0.27159083969467734,22
Kimi_summary,0.057531073258194905,-0.07559204148128629,-0.01060493497855284,-0.03211214215738106,0.0075287341960409305,22
Salmon_summary,0.43537293594669213,0.18445820642889224,0.2993807241066613,0.21732937632848257,0.3829422779899851,22
GAMA_summary,0.08970234449952841,-0.04606784851586616,0.020537433045154267,-0.00038545337103476575,0.04034346283773298,22
