model,precision,recall,f1,f1_ci_low,f1_ci_high,n
AF3_summary,0.3584192357957363,0.12463050830410793,0.23320516819755235,0.2021154993912205,0.26150146461247153,24
Qwen_summary,0.3430336963098783,0.07145598829867175,0.19414168417167205,0.16105128689489973,0.22618437866823604,26
Kimi_summary,0.397844597697258,0.17881745365836346,0.2779888218889634,0.2479414415235321,0.31117617059499025,24
Salmon_summary,0.37117900126255476,0.04380198360349123,0.18758095657596222,0.1560744367002581,0.21833992357938903,26
GAMA_summary,0.14530913130595133,-0.03238780044305783,0.05287238430733291,0.03557051521716998,0.06843303353615249,26
